ID DEPATAMENTO,DEPARTAMENTO,ID MUNICIPIO,MUNICIPIO,ID LOCALIDAD,LOCALIDAD,AÑO SERVICIO,MES SERVICIO,ENERGÍA ACTIVA,ENERGÍA REACTIVA,POTENCIA MÁXIMA,DÍA DE DEMANDA MÁXIMA,FECHA DE DEMANDA MÁXIMA,PROMEDIO DIARIO EN HORAS
19,CAUCA,19318,GUAPI,19318013,SAN ANTONIO DE GUAJUÍ (GUAPI - CAUCA),2022,3,11843,3704,49.61,viernes,03/25/2022 06:15:00 PM,9.36
19,CAUCA,19418,LÓPEZ DE MICAY,19418038,ISLA DE GALLO (LÓPEZ DE MICAY - CAUCA),2022,3,3120,1512,22.59,sábado,03/12/2022 08:00:00 PM,5.29
19,CAUCA,19418,LÓPEZ DE MICAY,19418012,SAN ANTONIO DE CHUARÉ (LÓPEZ DE MICAY - CAUCA),2022,3,8882,3063,62.75,martes,03/29/2022 07:00:00 PM,5.58
19,CAUCA,19418,LÓPEZ DE MICAY,19418015,SAN ISIDRO (LÓPEZ DE MICAY - CAUCA),2022,3,1025,558,6.82,miércoles,03/30/2022 06:45:00 PM,6.23
19,CAUCA,19418,LÓPEZ DE MICAY,19418019,ZARAGOZA (LOPEZ DE MICAY - CAUCA),2022,3,8651,3554,55.3,lunes,03/28/2022 07:00:00 PM,6.19
19,CAUCA,19809,TIMBIQUÍ,19809003,COTEJE (TIMBIQUÍ - CAUCA),2022,3,6306,4681,31.96,sábado,03/05/2022 07:30:00 PM,7.37
19,CAUCA,19809,TIMBIQUÍ,19809026,LOS BRAZOS (TIMBIQUÍ - CAUCA),2022,3,8298,1653,44.64,lunes,03/21/2022 06:45:00 PM,7.11
19,CAUCA,19809,TIMBIQUÍ,19809023,PUERTO SAIJA (TIMBIQUÍ - CAUCA),2022,3,26934,13283,168.08,lunes,03/14/2022 07:00:00 PM,6.17
19,CAUCA,19809,TIMBIQUÍ,19809008,SANTA MARÍA (TIMBIQUÍ - CAUCA),2022,3,12465,5224,71.36,miércoles,03/30/2022 07:00:00 PM,7.9
19,CAUCA,19809,TIMBIQUÍ,19809009,SANTA ROSA DE SAIJA (TIMBIQUÍ - CAUCA),2022,3,4009,2215,25.37,miércoles,03/23/2022 07:15:00 PM,6.24
27,CHOCÓ,27006,ACANDÍ,27006000,ACANDÍ (ACANDÍ - CHOCÓ),2022,3,559371,199620,1128.34,miércoles,03/23/2022 02:00:00 PM,21.37
27,CHOCÓ,27006,ACANDÍ,27006007,SAN FRANCISCO (ACANDÍ - CHOCÓ),2022,3,15462,5375,73.44,domingo,03/20/2022 07:15:00 PM,9.7
27,CHOCÓ,27025,ALTO BAUDÓ (PIE DE PATO),27025000,CIUDAD BAUDÓ - PIE DE PATO (ALTO BAUDÓ - CHOCÓ),2022,3,49787,15418,110.88,jueves,03/17/2022 12:00:00 PM,23.59
27,CHOCÓ,27075,BAHÍA SOLANO (MUTIS),27075000,CIUDAD MUTIS (BAHÍA SOLANO - CHOCÓ),2022,3,712773,249392,1351.24,martes,03/22/2022 07:30:00 PM,23.54
27,CHOCÓ,27075,BAHÍA SOLANO (MUTIS),27075001,CUPICA (BAHÍA SOLANO - CHOCÓ),2022,3,69029,24655,150.15,viernes,03/25/2022 07:15:00 PM,23.51
27,CHOCÓ,27075,BAHÍA SOLANO (MUTIS),27075002,EL VALLE (BAHÍA SOLANO - CHOCÓ),2022,3,160287,69743,334.22,martes,03/22/2022 07:15:00 PM,23.53
27,CHOCÓ,27077,BAJO BAUDÓ (PIZARRO),27077905,BUENAVISTA (BAJO BAUDÓ (PIZARRO) - CHOCÓ),2022,3,10770,1445,38.34,domingo,03/20/2022 05:30:00 PM,10.55
27,CHOCÓ,27077,BAJO BAUDÓ (PIZARRO),27077011,PILIZA (BAJO BAUDÓ (PIZARRO) - CHOCÓ),2022,3,6126,5786,35.2,jueves,03/31/2022 08:30:00 PM,7.6
27,CHOCÓ,27077,BAJO BAUDÓ (PIZARRO),27077000,PIZARRO (BAJO BAUDÓ (PIZARRO) - CHOCÓ),2022,3,226243,101762,427.15,jueves,03/17/2022 08:15:00 PM,23.53
27,CHOCÓ,27099,BOJAYÁ (BELLAVISTA),27099000,BELLAVISTA (BOJAYÁ (BELLAVISTA) - CHOCÓ),2022,3,91654,27016,258.46,miércoles,03/23/2022 07:15:00 PM,15.21
27,CHOCÓ,27099,BOJAYÁ (BELLAVISTA),27099002,LA LOMA DE BOJAYÁ (BOJAYÁ (BELLAVISTA) - CHOCÓ),2022,3,13182,6506,64,sábado,03/12/2022 09:30:00 PM,8.59
27,CHOCÓ,27250,EL LITORAL DEL SAN JUAN,27250000,SANTA GENOVEVA DE DOCORDÓ (EL LITORAL DEL SAN JUAN - CHOCÓ),2022,3,63598,35437,182.42,sábado,03/26/2022 12:45:00 PM,23.43
27,CHOCÓ,27250,EL LITORAL DEL SAN JUAN,27250914,TOGOROMA PLAYA (EL LITORAL DEL SAN JUAN - CHOCÓ),2022,3,835,182,8.53,sábado,03/12/2022 06:15:00 PM,4.55
27,CHOCÓ,27372,JURADÓ,27372000,JURADÓ (JURADÓ - CHOCÓ),2022,3,181279,73946,336.96,miércoles,03/23/2022 07:15:00 PM,23.53
27,CHOCÓ,27425,MEDIO ATRATO (BETÉ),27425000,BETÉ (MEDIO ATRATO (BETÉ) - CHOCÓ),2022,3,11625,7199,60,jueves,03/24/2022 08:15:00 PM,8.34
27,CHOCÓ,27495,NUQUÍ,27495000,NUQUÍ (NUQUÍ - CHOCÓ),2022,3,265385,62393,518.14,martes,03/22/2022 07:45:00 PM,24
